Pair Number,System A,System B,BLEU Score A,BLEU p-value A,BLEU Mean A,BLEU CI A,BLEU Score B,BLEU p-value B,BLEU Mean B,BLEU CI B
80,Baseline: results/rethinking/evaluation_logs/model-save-dir-25/clean.result,results/rethinking/evaluation_logs/model-save-dir-15/clean.result,38.48460672807191,,38.477759935404855,0.4853375039793626,38.47643772439564,0.3946053946053946,38.4710432782215,0.5010688572483204
81,Baseline: results/rethinking/evaluation_logs/model-save-dir-25/clean.result,results/rethinking/evaluation_logs/model-save-dir-57/clean.result,38.48460672807191,,38.477759935404855,0.4853375039793626,38.354687127182615,0.13386613386613386,38.348801588148284,0.5038409707909608
82,Baseline: results/rethinking/evaluation_logs/model-save-dir-25/clean.result,results/rethinking/evaluation_logs/model-save-dir-23/clean.result,38.48460672807191,,38.477759935404855,0.4853375039793626,38.68010579416809,0.056943056943056944,38.67236385149872,0.524798638931685
83,Baseline: results/rethinking/evaluation_logs/model-save-dir-25/clean.result,results/rethinking/evaluation_logs/model-save-dir-65/clean.result,38.48460672807191,,38.477759935404855,0.4853375039793626,38.1969605435807,0.016983016983016984,38.187347328285476,0.5039151424350976
84,Baseline: results/rethinking/evaluation_logs/model-save-dir-25/clean.result,results/rethinking/evaluation_logs/model-save-dir-21/clean.result,38.48460672807191,,38.477759935404855,0.4853375039793626,38.3727103634763,0.15684315684315683,38.36435434925997,0.5235983741743944
85,Baseline: results/rethinking/evaluation_logs/model-save-dir-25/clean.result,results/rethinking/evaluation_logs/model-save-dir-70/clean.result,38.48460672807191,,38.477759935404855,0.4853375039793626,38.39434933470167,0.17182817182817184,38.38938626651549,0.5285535462379514
86,Baseline: results/rethinking/evaluation_logs/model-save-dir-25/clean.result,results/rethinking/evaluation_logs/model-save-dir-80/clean.result,38.48460672807191,,38.477759935404855,0.4853375039793626,38.544922111967466,0.24975024975024976,38.53574572423869,0.5099429353110807
87,Baseline: results/rethinking/evaluation_logs/model-save-dir-25/clean.result,results/rethinking/evaluation_logs/model-save-dir-55/clean.result,38.48460672807191,,38.477759935404855,0.4853375039793626,38.423128461277166,0.23976023976023977,38.41868658031148,0.5146032340631912
88,Baseline: results/rethinking/evaluation_logs/model-save-dir-25/clean.result,results/rethinking/evaluation_logs/model-save-dir-11/clean.result,38.48460672807191,,38.477759935404855,0.4853375039793626,38.279079323288414,0.06993006993006994,38.27778963538787,0.5043848779169444
89,Baseline: results/rethinking/evaluation_logs/model-save-dir-25/clean.result,results/rethinking/evaluation_logs/model-save-dir-78/clean.result,38.48460672807191,,38.477759935404855,0.4853375039793626,38.30633074879096,0.07892107892107893,38.30169676970973,0.5100883728225902
